tasa de aprendizaje no especificada se estable ce en 0.1000
train no especficado se estable ce en 0.6500
train no especficado se establece en 0.3500
etapa 1404600 0.00000074 ecm:0.0000
etapa 1404700 0.00000074 ecm:0.0000
etapa 1404800 0.00000074 ecm:0.0000
etapa 1404900 0.00000074 ecm:0.0000
etapa 1405000 0.00000074 ecm:0.0000
etapa 1405100 0.00000074 ecm:0.0000
etapa 1405200 0.00000074 ecm:0.0000
etapa 1405300 0.00000074 ecm:0.0000
etapa 1405400 0.00000074 ecm:0.0000
etapa 1405500 0.00000074 ecm:0.0000
etapa 1405600 0.00000074 ecm:0.0000
etapa 1405700 0.00000074 ecm:0.0000
etapa 1405800 0.00000074 ecm:0.0000
etapa 1405900 0.00000074 ecm:0.0000
etapa 1406000 0.00000074 ecm:0.0000
etapa 1406100 0.00000074 ecm:0.0000
etapa 1406200 0.00000074 ecm:0.0000
etapa 1406300 0.00000074 ecm:0.0000
etapa 1406400 0.00000074 ecm:0.0000
etapa 1406500 0.00000074 ecm:0.0000
etapa 1406600 0.00000074 ecm:0.0000
etapa 1406700 0.00000074 ecm:0.0000
etapa 1406800 0.00000074 ecm:0.0000
etapa 1406900 0.00000074 ecm:0.0000
etapa 1407000 0.00000074 ecm:0.0000
etapa 1407100 0.00000074 ecm:0.0000
etapa 1407200 0.00000074 ecm:0.0000
etapa 1407300 0.00000074 ecm:0.0000
etapa 1407400 0.00000074 ecm:0.0000
etapa 1407500 0.00000074 ecm:0.0000
etapa 1407600 0.00000074 ecm:0.0000
etapa 1407700 0.00000074 ecm:0.0000
etapa 1407800 0.00000074 ecm:0.0000
etapa 1407900 0.00000074 ecm:0.0000
etapa 1408000 0.00000074 ecm:0.0000
etapa 1408100 0.00000074 ecm:0.0000
etapa 1408200 0.00000074 ecm:0.0000
etapa 1408300 0.00000074 ecm:0.0000
etapa 1408400 0.00000074 ecm:0.0000
etapa 1408500 0.00000074 ecm:0.0000
etapa 1408600 0.00000074 ecm:0.0000
etapa 1408700 0.00000074 ecm:0.0000
etapa 1408800 0.00000074 ecm:0.0000
etapa 1408900 0.00000074 ecm:0.0000
etapa 1409000 0.00000074 ecm:0.0000
etapa 1409100 0.00000074 ecm:0.0000
etapa 1409200 0.00000074 ecm:0.0000
etapa 1409300 0.00000074 ecm:0.0000
etapa 1409400 0.00000074 ecm:0.0000
etapa 1409500 0.00000074 ecm:0.0000
etapa 1409600 0.00000074 ecm:0.0000
etapa 1409700 0.00000074 ecm:0.0000
etapa 1409800 0.00000074 ecm:0.0000
etapa 1409900 0.00000074 ecm:0.0000
etapa 1410000 0.00000074 ecm:0.0000
etapa 1410100 0.00000074 ecm:0.0000
etapa 1410200 0.00000074 ecm:0.0000
etapa 1410300 0.00000074 ecm:0.0000
etapa 1410400 0.00000074 ecm:0.0000
etapa 1410500 0.00000074 ecm:0.0000
etapa 1410600 0.00000074 ecm:0.0000
etapa 1410700 0.00000074 ecm:0.0000
etapa 1410800 0.00000074 ecm:0.0000
etapa 1410900 0.00000074 ecm:0.0000
etapa 1411000 0.00000074 ecm:0.0000
etapa 1411100 0.00000074 ecm:0.0000
etapa 1411200 0.00000074 ecm:0.0000
etapa 1411300 0.00000074 ecm:0.0000
etapa 1411400 0.00000074 ecm:0.0000
etapa 1411500 0.00000074 ecm:0.0000
etapa 1411600 0.00000074 ecm:0.0000
etapa 1411700 0.00000074 ecm:0.0000
etapa 1411800 0.00000074 ecm:0.0000
etapa 1411900 0.00000074 ecm:0.0000
etapa 1412000 0.00000074 ecm:0.0000
etapa 1412100 0.00000074 ecm:0.0000
etapa 1412200 0.00000074 ecm:0.0000
etapa 1412300 0.00000074 ecm:0.0000
etapa 1412400 0.00000074 ecm:0.0000
etapa 1412500 0.00000074 ecm:0.0000
etapa 1412600 0.00000074 ecm:0.0000
etapa 1412700 0.00000074 ecm:0.0000
etapa 1412800 0.00000074 ecm:0.0000
etapa 1412900 0.00000074 ecm:0.0000
etapa 1413000 0.00000074 ecm:0.0000
etapa 1413100 0.00000074 ecm:0.0000
etapa 1413200 0.00000074 ecm:0.0000
etapa 1413300 0.00000074 ecm:0.0000
etapa 1413400 0.00000074 ecm:0.0000
etapa 1413500 0.00000074 ecm:0.0000
etapa 1413600 0.00000074 ecm:0.0000
etapa 1413700 0.00000074 ecm:0.0000
etapa 1413800 0.00000074 ecm:0.0000
etapa 1413900 0.00000074 ecm:0.0000
etapa 1414000 0.00000074 ecm:0.0000
etapa 1414100 0.00000074 ecm:0.0000
etapa 1414200 0.00000074 ecm:0.0000
etapa 1414300 0.00000074 ecm:0.0000
etapa 1414400 0.00000074 ecm:0.0000
etapa 1414500 0.00000074 ecm:0.0000
etapa 1414600 0.00000074 ecm:0.0000
etapa 1414700 0.00000074 ecm:0.0000
etapa 1414800 0.00000074 ecm:0.0000
etapa 1414900 0.00000074 ecm:0.0000
etapa 1415000 0.00000074 ecm:0.0000
etapa 1415100 0.00000074 ecm:0.0000
etapa 1415200 0.00000074 ecm:0.0000
etapa 1415300 0.00000074 ecm:0.0000
etapa 1415400 0.00000074 ecm:0.0000
etapa 1415500 0.00000074 ecm:0.0000
etapa 1415600 0.00000074 ecm:0.0000
etapa 1415700 0.00000074 ecm:0.0000
etapa 1415800 0.00000074 ecm:0.0000
etapa 1415900 0.00000074 ecm:0.0000
etapa 1416000 0.00000074 ecm:0.0000
etapa 1416100 0.00000074 ecm:0.0000
etapa 1416200 0.00000074 ecm:0.0000
etapa 1416300 0.00000074 ecm:0.0000
etapa 1416400 0.00000074 ecm:0.0000
etapa 1416500 0.00000074 ecm:0.0000
etapa 1416600 0.00000074 ecm:0.0000
etapa 1416700 0.00000074 ecm:0.0000
etapa 1416800 0.00000074 ecm:0.0000
etapa 1416900 0.00000074 ecm:0.0000
etapa 1417000 0.00000074 ecm:0.0000
etapa 1417100 0.00000074 ecm:0.0000
etapa 1417200 0.00000074 ecm:0.0000
etapa 1417300 0.00000074 ecm:0.0000
etapa 1417400 0.00000074 ecm:0.0000
etapa 1417500 0.00000074 ecm:0.0000
etapa 1417600 0.00000074 ecm:0.0000
etapa 1417700 0.00000074 ecm:0.0000
etapa 1417800 0.00000074 ecm:0.0000
etapa 1417900 0.00000074 ecm:0.0000
etapa 1418000 0.00000074 ecm:0.0000
etapa 1418100 0.00000074 ecm:0.0000
etapa 1418200 0.00000074 ecm:0.0000
etapa 1418300 0.00000074 ecm:0.0000
etapa 1418400 0.00000074 ecm:0.0000
etapa 1418500 0.00000074 ecm:0.0000
etapa 1418600 0.00000074 ecm:0.0000
etapa 1418700 0.00000074 ecm:0.0000
etapa 1418800 0.00000074 ecm:0.0000
etapa 1418900 0.00000074 ecm:0.0000
etapa 1419000 0.00000074 ecm:0.0000
etapa 1419100 0.00000074 ecm:0.0000
etapa 1419200 0.00000073 ecm:0.0000
etapa 1419300 0.00000073 ecm:0.0000
etapa 1419400 0.00000073 ecm:0.0000
etapa 1419500 0.00000073 ecm:0.0000
etapa 1419600 0.00000073 ecm:0.0000
etapa 1419700 0.00000073 ecm:0.0000
etapa 1419800 0.00000073 ecm:0.0000
etapa 1419900 0.00000073 ecm:0.0000
etapa 1420000 0.00000073 ecm:0.0000
etapa 1420100 0.00000073 ecm:0.0000
etapa 1420200 0.00000073 ecm:0.0000
etapa 1420300 0.00000073 ecm:0.0000
etapa 1420400 0.00000073 ecm:0.0000
etapa 1420500 0.00000073 ecm:0.0000
etapa 1420600 0.00000073 ecm:0.0000
etapa 1420700 0.00000073 ecm:0.0000
etapa 1420800 0.00000073 ecm:0.0000
etapa 1420900 0.00000073 ecm:0.0000
etapa 1421000 0.00000073 ecm:0.0000
etapa 1421100 0.00000073 ecm:0.0000
etapa 1421200 0.00000073 ecm:0.0000
etapa 1421300 0.00000073 ecm:0.0000
etapa 1421400 0.00000073 ecm:0.0000
etapa 1421500 0.00000073 ecm:0.0000
etapa 1421600 0.00000073 ecm:0.0000
etapa 1421700 0.00000073 ecm:0.0000
etapa 1421800 0.00000073 ecm:0.0000
etapa 1421900 0.00000073 ecm:0.0000
etapa 1422000 0.00000073 ecm:0.0000
etapa 1422100 0.00000073 ecm:0.0000
etapa 1422200 0.00000073 ecm:0.0000
etapa 1422300 0.00000073 ecm:0.0000
etapa 1422400 0.00000073 ecm:0.0000
etapa 1422500 0.00000073 ecm:0.0000
etapa 1422600 0.00000073 ecm:0.0000
etapa 1422700 0.00000073 ecm:0.0000
etapa 1422800 0.00000073 ecm:0.0000
etapa 1422900 0.00000073 ecm:0.0000
etapa 1423000 0.00000073 ecm:0.0000
etapa 1423100 0.00000073 ecm:0.0000
etapa 1423200 0.00000073 ecm:0.0000
etapa 1423300 0.00000073 ecm:0.0000
etapa 1423400 0.00000073 ecm:0.0000
etapa 1423500 0.00000073 ecm:0.0000
etapa 1423600 0.00000073 ecm:0.0000
etapa 1423700 0.00000073 ecm:0.0000
etapa 1423800 0.00000073 ecm:0.0000
etapa 1423900 0.00000073 ecm:0.0000
etapa 1424000 0.00000073 ecm:0.0000
etapa 1424100 0.00000073 ecm:0.0000
etapa 1424200 0.00000073 ecm:0.0000
etapa 1424300 0.00000073 ecm:0.0000
etapa 1424400 0.00000073 ecm:0.0000
etapa 1424500 0.00000073 ecm:0.0000
etapa 1424600 0.00000073 ecm:0.0000
etapa 1424700 0.00000073 ecm:0.0000
etapa 1424800 0.00000073 ecm:0.0000
etapa 1424900 0.00000073 ecm:0.0000
etapa 1425000 0.00000073 ecm:0.0000
etapa 1425100 0.00000073 ecm:0.0000
etapa 1425200 0.00000073 ecm:0.0000
etapa 1425300 0.00000073 ecm:0.0000
etapa 1425400 0.00000073 ecm:0.0000
etapa 1425500 0.00000073 ecm:0.0000
etapa 1425600 0.00000073 ecm:0.0000
etapa 1425700 0.00000073 ecm:0.0000
etapa 1425800 0.00000073 ecm:0.0000
etapa 1425900 0.00000073 ecm:0.0000
etapa 1426000 0.00000073 ecm:0.0000
etapa 1426100 0.00000073 ecm:0.0000
etapa 1426200 0.00000073 ecm:0.0000
etapa 1426300 0.00000073 ecm:0.0000
etapa 1426400 0.00000073 ecm:0.0000
etapa 1426500 0.00000073 ecm:0.0000
etapa 1426600 0.00000073 ecm:0.0000
etapa 1426700 0.00000073 ecm:0.0000
etapa 1426800 0.00000073 ecm:0.0000
etapa 1426900 0.00000073 ecm:0.0000
etapa 1427000 0.00000073 ecm:0.0000
etapa 1427100 0.00000073 ecm:0.0000
etapa 1427200 0.00000073 ecm:0.0000
etapa 1427300 0.00000073 ecm:0.0000
etapa 1427400 0.00000073 ecm:0.0000
etapa 1427500 0.00000073 ecm:0.0000
etapa 1427600 0.00000073 ecm:0.0000
etapa 1427700 0.00000073 ecm:0.0000
etapa 1427800 0.00000073 ecm:0.0000
etapa 1427900 0.00000073 ecm:0.0000
etapa 1428000 0.00000073 ecm:0.0000
etapa 1428100 0.00000073 ecm:0.0000
etapa 1428200 0.00000073 ecm:0.0000
etapa 1428300 0.00000073 ecm:0.0000
etapa 1428400 0.00000073 ecm:0.0000
etapa 1428500 0.00000073 ecm:0.0000
etapa 1428600 0.00000073 ecm:0.0000
etapa 1428700 0.00000073 ecm:0.0000
etapa 1428800 0.00000073 ecm:0.0000
etapa 1428900 0.00000073 ecm:0.0000
etapa 1429000 0.00000073 ecm:0.0000
etapa 1429100 0.00000073 ecm:0.0000
etapa 1429200 0.00000073 ecm:0.0000
etapa 1429300 0.00000073 ecm:0.0000
etapa 1429400 0.00000073 ecm:0.0000
etapa 1429500 0.00000073 ecm:0.0000
etapa 1429600 0.00000073 ecm:0.0000
etapa 1429700 0.00000073 ecm:0.0000
etapa 1429800 0.00000073 ecm:0.0000
etapa 1429900 0.00000073 ecm:0.0000
etapa 1430000 0.00000073 ecm:0.0000
etapa 1430100 0.00000073 ecm:0.0000
etapa 1430200 0.00000073 ecm:0.0000
etapa 1430300 0.00000073 ecm:0.0000
etapa 1430400 0.00000073 ecm:0.0000
etapa 1430500 0.00000073 ecm:0.0000
etapa 1430600 0.00000073 ecm:0.0000
etapa 1430700 0.00000073 ecm:0.0000
etapa 1430800 0.00000073 ecm:0.0000
etapa 1430900 0.00000073 ecm:0.0000
etapa 1431000 0.00000073 ecm:0.0000
etapa 1431100 0.00000073 ecm:0.0000
etapa 1431200 0.00000073 ecm:0.0000
etapa 1431300 0.00000073 ecm:0.0000
etapa 1431400 0.00000073 ecm:0.0000
etapa 1431500 0.00000073 ecm:0.0000
etapa 1431600 0.00000073 ecm:0.0000
etapa 1431700 0.00000073 ecm:0.0000
etapa 1431800 0.00000073 ecm:0.0000
etapa 1431900 0.00000073 ecm:0.0000
etapa 1432000 0.00000073 ecm:0.0000
etapa 1432100 0.00000073 ecm:0.0000
etapa 1432200 0.00000073 ecm:0.0000
etapa 1432300 0.00000073 ecm:0.0000
etapa 1432400 0.00000073 ecm:0.0000
etapa 1432500 0.00000073 ecm:0.0000
etapa 1432600 0.00000073 ecm:0.0000
etapa 1432700 0.00000073 ecm:0.0000
etapa 1432800 0.00000073 ecm:0.0000
etapa 1432900 0.00000073 ecm:0.0000
etapa 1433000 0.00000073 ecm:0.0000
etapa 1433100 0.00000073 ecm:0.0000
etapa 1433200 0.00000073 ecm:0.0000
etapa 1433300 0.00000073 ecm:0.0000
etapa 1433400 0.00000073 ecm:0.0000
etapa 1433500 0.00000073 ecm:0.0000
etapa 1433600 0.00000073 ecm:0.0000
etapa 1433700 0.00000073 ecm:0.0000
etapa 1433800 0.00000073 ecm:0.0000
etapa 1433900 0.00000073 ecm:0.0000
etapa 1434000 0.00000073 ecm:0.0000
etapa 1434100 0.00000073 ecm:0.0000
etapa 1434200 0.00000073 ecm:0.0000
etapa 1434300 0.00000073 ecm:0.0000
etapa 1434400 0.00000073 ecm:0.0000
etapa 1434500 0.00000073 ecm:0.0000
etapa 1434600 0.00000073 ecm:0.0000
etapa 1434700 0.00000073 ecm:0.0000
etapa 1434800 0.00000073 ecm:0.0000
etapa 1434900 0.00000073 ecm:0.0000
etapa 1435000 0.00000073 ecm:0.0000
etapa 1435100 0.00000073 ecm:0.0000
etapa 1435200 0.00000073 ecm:0.0000
etapa 1435300 0.00000073 ecm:0.0000
etapa 1435400 0.00000073 ecm:0.0000
etapa 1435500 0.00000073 ecm:0.0000
etapa 1435600 0.00000073 ecm:0.0000
etapa 1435700 0.00000073 ecm:0.0000
etapa 1435800 0.00000073 ecm:0.0000
etapa 1435900 0.00000073 ecm:0.0000
etapa 1436000 0.00000073 ecm:0.0000
etapa 1436100 0.00000073 ecm:0.0000
etapa 1436200 0.00000073 ecm:0.0000
etapa 1436300 0.00000073 ecm:0.0000
etapa 1436400 0.00000073 ecm:0.0000
etapa 1436500 0.00000073 ecm:0.0000
etapa 1436600 0.00000073 ecm:0.0000
etapa 1436700 0.00000073 ecm:0.0000
etapa 1436800 0.00000073 ecm:0.0000
etapa 1436900 0.00000073 ecm:0.0000
etapa 1437000 0.00000073 ecm:0.0000
etapa 1437100 0.00000073 ecm:0.0000
etapa 1437200 0.00000073 ecm:0.0000
etapa 1437300 0.00000073 ecm:0.0000
etapa 1437400 0.00000073 ecm:0.0000
etapa 1437500 0.00000073 ecm:0.0000
etapa 1437600 0.00000073 ecm:0.0000
etapa 1437700 0.00000073 ecm:0.0000
etapa 1437800 0.00000073 ecm:0.0000
etapa 1437900 0.00000073 ecm:0.0000
etapa 1438000 0.00000073 ecm:0.0000
etapa 1438100 0.00000073 ecm:0.0000
etapa 1438200 0.00000073 ecm:0.0000
etapa 1438300 0.00000073 ecm:0.0000
etapa 1438400 0.00000073 ecm:0.0000
etapa 1438500 0.00000073 ecm:0.0000
etapa 1438600 0.00000072 ecm:0.0000
etapa 1438700 0.00000072 ecm:0.0000
etapa 1438800 0.00000072 ecm:0.0000
etapa 1438900 0.00000072 ecm:0.0000
etapa 1439000 0.00000072 ecm:0.0000
etapa 1439100 0.00000072 ecm:0.0000
etapa 1439200 0.00000072 ecm:0.0000
etapa 1439300 0.00000072 ecm:0.0000
etapa 1439400 0.00000072 ecm:0.0000
etapa 1439500 0.00000072 ecm:0.0000
etapa 1439600 0.00000072 ecm:0.0000
etapa 1439700 0.00000072 ecm:0.0000
etapa 1439800 0.00000072 ecm:0.0000
etapa 1439900 0.00000072 ecm:0.0000
etapa 1440000 0.00000072 ecm:0.0000
etapa 1440100 0.00000072 ecm:0.0000
etapa 1440200 0.00000072 ecm:0.0000
etapa 1440300 0.00000072 ecm:0.0000
etapa 1440400 0.00000072 ecm:0.0000
etapa 1440500 0.00000072 ecm:0.0000
etapa 1440600 0.00000072 ecm:0.0000
etapa 1440700 0.00000072 ecm:0.0000
etapa 1440800 0.00000072 ecm:0.0000
etapa 1440900 0.00000072 ecm:0.0000
etapa 1441000 0.00000072 ecm:0.0000
etapa 1441100 0.00000072 ecm:0.0000
etapa 1441200 0.00000072 ecm:0.0000
etapa 1441300 0.00000072 ecm:0.0000
etapa 1441400 0.00000072 ecm:0.0000
etapa 1441500 0.00000072 ecm:0.0000
etapa 1441600 0.00000072 ecm:0.0000
etapa 1441700 0.00000072 ecm:0.0000
etapa 1441800 0.00000072 ecm:0.0000
etapa 1441900 0.00000072 ecm:0.0000
etapa 1442000 0.00000072 ecm:0.0000
etapa 1442100 0.00000072 ecm:0.0000
etapa 1442200 0.00000072 ecm:0.0000
etapa 1442300 0.00000072 ecm:0.0000
etapa 1442400 0.00000072 ecm:0.0000
etapa 1442500 0.00000072 ecm:0.0000
etapa 1442600 0.00000072 ecm:0.0000
etapa 1442700 0.00000072 ecm:0.0000
etapa 1442800 0.00000072 ecm:0.0000
etapa 1442900 0.00000072 ecm:0.0000
etapa 1443000 0.00000072 ecm:0.0000
etapa 1443100 0.00000072 ecm:0.0000
etapa 1443200 0.00000072 ecm:0.0000
etapa 1443300 0.00000072 ecm:0.0000
etapa 1443400 0.00000072 ecm:0.0000
etapa 1443500 0.00000072 ecm:0.0000
etapa 1443600 0.00000072 ecm:0.0000
etapa 1443700 0.00000072 ecm:0.0000
etapa 1443800 0.00000072 ecm:0.0000
etapa 1443900 0.00000072 ecm:0.0000
etapa 1444000 0.00000072 ecm:0.0000
etapa 1444100 0.00000072 ecm:0.0000
etapa 1444200 0.00000072 ecm:0.0000
etapa 1444300 0.00000072 ecm:0.0000
etapa 1444400 0.00000072 ecm:0.0000
etapa 1444500 0.00000072 ecm:0.0000
etapa 1444600 0.00000072 ecm:0.0000
etapa 1444700 0.00000072 ecm:0.0000
etapa 1444800 0.00000072 ecm:0.0000
etapa 1444900 0.00000072 ecm:0.0000
etapa 1445000 0.00000072 ecm:0.0000
etapa 1445100 0.00000072 ecm:0.0000
etapa 1445200 0.00000072 ecm:0.0000
etapa 1445300 0.00000072 ecm:0.0000
etapa 1445400 0.00000072 ecm:0.0000
etapa 1445500 0.00000072 ecm:0.0000
etapa 1445600 0.00000072 ecm:0.0000
etapa 1445700 0.00000072 ecm:0.0000
etapa 1445800 0.00000072 ecm:0.0000
etapa 1445900 0.00000072 ecm:0.0000
etapa 1446000 0.00000072 ecm:0.0000
etapa 1446100 0.00000072 ecm:0.0000
etapa 1446200 0.00000072 ecm:0.0000
etapa 1446300 0.00000072 ecm:0.0000
etapa 1446400 0.00000072 ecm:0.0000
etapa 1446500 0.00000072 ecm:0.0000
etapa 1446600 0.00000072 ecm:0.0000
etapa 1446700 0.00000072 ecm:0.0000
etapa 1446800 0.00000072 ecm:0.0000
etapa 1446900 0.00000072 ecm:0.0000
etapa 1447000 0.00000072 ecm:0.0000
etapa 1447100 0.00000072 ecm:0.0000
etapa 1447200 0.00000072 ecm:0.0000
etapa 1447300 0.00000072 ecm:0.0000
etapa 1447400 0.00000072 ecm:0.0000
etapa 1447500 0.00000072 ecm:0.0000
etapa 1447600 0.00000072 ecm:0.0000
etapa 1447700 0.00000072 ecm:0.0000
etapa 1447800 0.00000072 ecm:0.0000
etapa 1447900 0.00000072 ecm:0.0000
etapa 1448000 0.00000072 ecm:0.0000
etapa 1448100 0.00000072 ecm:0.0000
etapa 1448200 0.00000072 ecm:0.0000
etapa 1448300 0.00000072 ecm:0.0000
etapa 1448400 0.00000072 ecm:0.0000
etapa 1448500 0.00000072 ecm:0.0000
etapa 1448600 0.00000072 ecm:0.0000
etapa 1448700 0.00000072 ecm:0.0000
etapa 1448800 0.00000072 ecm:0.0000
etapa 1448900 0.00000072 ecm:0.0000
etapa 1449000 0.00000072 ecm:0.0000
etapa 1449100 0.00000072 ecm:0.0000
etapa 1449200 0.00000072 ecm:0.0000
etapa 1449300 0.00000072 ecm:0.0000
etapa 1449400 0.00000072 ecm:0.0000
etapa 1449500 0.00000072 ecm:0.0000
etapa 1449600 0.00000072 ecm:0.0000
etapa 1449700 0.00000072 ecm:0.0000
etapa 1449800 0.00000072 ecm:0.0000
etapa 1449900 0.00000072 ecm:0.0000
etapa 1450000 0.00000072 ecm:0.0000
etapa 1450100 0.00000072 ecm:0.0000
etapa 1450200 0.00000072 ecm:0.0000
etapa 1450300 0.00000072 ecm:0.0000
etapa 1450400 0.00000072 ecm:0.0000
etapa 1450500 0.00000072 ecm:0.0000
etapa 1450600 0.00000072 ecm:0.0000
etapa 1450700 0.00000072 ecm:0.0000
etapa 1450800 0.00000072 ecm:0.0000
etapa 1450900 0.00000072 ecm:0.0000
etapa 1451000 0.00000072 ecm:0.0000
etapa 1451100 0.00000072 ecm:0.0000
etapa 1451200 0.00000072 ecm:0.0000
etapa 1451300 0.00000072 ecm:0.0000
etapa 1451400 0.00000072 ecm:0.0000
etapa 1451500 0.00000072 ecm:0.0000
etapa 1451600 0.00000072 ecm:0.0000
etapa 1451700 0.00000072 ecm:0.0000
etapa 1451800 0.00000072 ecm:0.0000
etapa 1451900 0.00000072 ecm:0.0000
etapa 1452000 0.00000072 ecm:0.0000
etapa 1452100 0.00000072 ecm:0.0000
etapa 1452200 0.00000072 ecm:0.0000
etapa 1452300 0.00000072 ecm:0.0000
etapa 1452400 0.00000072 ecm:0.0000
etapa 1452500 0.00000072 ecm:0.0000
etapa 1452600 0.00000072 ecm:0.0000
etapa 1452700 0.00000072 ecm:0.0000
etapa 1452800 0.00000072 ecm:0.0000
etapa 1452900 0.00000072 ecm:0.0000
etapa 1453000 0.00000072 ecm:0.0000
etapa 1453100 0.00000072 ecm:0.0000
etapa 1453200 0.00000072 ecm:0.0000
etapa 1453300 0.00000072 ecm:0.0000
etapa 1453400 0.00000072 ecm:0.0000
etapa 1453500 0.00000072 ecm:0.0000
etapa 1453600 0.00000072 ecm:0.0000
etapa 1453700 0.00000072 ecm:0.0000
etapa 1453800 0.00000072 ecm:0.0000
etapa 1453900 0.00000072 ecm:0.0000
etapa 1454000 0.00000072 ecm:0.0000
etapa 1454100 0.00000072 ecm:0.0000
etapa 1454200 0.00000072 ecm:0.0000
etapa 1454300 0.00000072 ecm:0.0000
etapa 1454400 0.00000072 ecm:0.0000
etapa 1454500 0.00000072 ecm:0.0000
etapa 1454600 0.00000072 ecm:0.0000
etapa 1454700 0.00000072 ecm:0.0000
etapa 1454800 0.00000072 ecm:0.0000
etapa 1454900 0.00000072 ecm:0.0000
etapa 1455000 0.00000072 ecm:0.0000
etapa 1455100 0.00000072 ecm:0.0000
etapa 1455200 0.00000072 ecm:0.0000
etapa 1455300 0.00000072 ecm:0.0000
etapa 1455400 0.00000072 ecm:0.0000
etapa 1455500 0.00000072 ecm:0.0000
etapa 1455600 0.00000072 ecm:0.0000
etapa 1455700 0.00000072 ecm:0.0000
etapa 1455800 0.00000072 ecm:0.0000
etapa 1455900 0.00000072 ecm:0.0000
etapa 1456000 0.00000072 ecm:0.0000
etapa 1456100 0.00000072 ecm:0.0000
etapa 1456200 0.00000072 ecm:0.0000
etapa 1456300 0.00000072 ecm:0.0000
etapa 1456400 0.00000072 ecm:0.0000
etapa 1456500 0.00000072 ecm:0.0000
etapa 1456600 0.00000072 ecm:0.0000
etapa 1456700 0.00000072 ecm:0.0000
etapa 1456800 0.00000072 ecm:0.0000
etapa 1456900 0.00000072 ecm:0.0000
etapa 1457000 0.00000072 ecm:0.0000
etapa 1457100 0.00000072 ecm:0.0000
etapa 1457200 0.00000072 ecm:0.0000
etapa 1457300 0.00000072 ecm:0.0000
etapa 1457400 0.00000072 ecm:0.0000
etapa 1457500 0.00000072 ecm:0.0000
etapa 1457600 0.00000072 ecm:0.0000
etapa 1457700 0.00000072 ecm:0.0000
etapa 1457800 0.00000072 ecm:0.0000
etapa 1457900 0.00000072 ecm:0.0000
etapa 1458000 0.00000072 ecm:0.0000
etapa 1458100 0.00000072 ecm:0.0000
etapa 1458200 0.00000072 ecm:0.0000
etapa 1458300 0.00000072 ecm:0.0000
etapa 1458400 0.00000072 ecm:0.0000
etapa 1458500 0.00000072 ecm:0.0000
etapa 1458600 0.00000071 ecm:0.0000
etapa 1458700 0.00000071 ecm:0.0000
etapa 1458800 0.00000071 ecm:0.0000
etapa 1458900 0.00000071 ecm:0.0000
etapa 1459000 0.00000071 ecm:0.0000
etapa 1459100 0.00000071 ecm:0.0000
etapa 1459200 0.00000071 ecm:0.0000
etapa 1459300 0.00000071 ecm:0.0000
etapa 1459400 0.00000071 ecm:0.0000
etapa 1459500 0.00000071 ecm:0.0000
etapa 1459600 0.00000071 ecm:0.0000
etapa 1459700 0.00000071 ecm:0.0000
etapa 1459800 0.00000071 ecm:0.0000
etapa 1459900 0.00000071 ecm:0.0000
etapa 1460000 0.00000071 ecm:0.0000
etapa 1460100 0.00000071 ecm:0.0000
etapa 1460200 0.00000071 ecm:0.0000
etapa 1460300 0.00000071 ecm:0.0000
etapa 1460400 0.00000071 ecm:0.0000
etapa 1460500 0.00000071 ecm:0.0000
etapa 1460600 0.00000071 ecm:0.0000
etapa 1460700 0.00000071 ecm:0.0000
etapa 1460800 0.00000071 ecm:0.0000
etapa 1460900 0.00000071 ecm:0.0000
etapa 1461000 0.00000071 ecm:0.0000
etapa 1461100 0.00000071 ecm:0.0000
etapa 1461200 0.00000071 ecm:0.0000
etapa 1461300 0.00000071 ecm:0.0000
etapa 1461400 0.00000071 ecm:0.0000
etapa 1461500 0.00000071 ecm:0.0000
etapa 1461600 0.00000071 ecm:0.0000
etapa 1461700 0.00000071 ecm:0.0000
etapa 1461800 0.00000071 ecm:0.0000
etapa 1461900 0.00000071 ecm:0.0000
etapa 1462000 0.00000071 ecm:0.0000
etapa 1462100 0.00000071 ecm:0.0000
etapa 1462200 0.00000071 ecm:0.0000
etapa 1462300 0.00000071 ecm:0.0000
etapa 1462400 0.00000071 ecm:0.0000
etapa 1462500 0.00000071 ecm:0.0000
etapa 1462600 0.00000071 ecm:0.0000
etapa 1462700 0.00000071 ecm:0.0000
etapa 1462800 0.00000071 ecm:0.0000
etapa 1462900 0.00000071 ecm:0.0000
etapa 1463000 0.00000071 ecm:0.0000
etapa 1463100 0.00000071 ecm:0.0000
etapa 1463200 0.00000071 ecm:0.0000
etapa 1463300 0.00000071 ecm:0.0000
etapa 1463400 0.00000071 ecm:0.0000
etapa 1463500 0.00000071 ecm:0.0000
etapa 1463600 0.00000071 ecm:0.0000
etapa 1463700 0.00000071 ecm:0.0000
etapa 1463800 0.00000071 ecm:0.0000
etapa 1463900 0.00000071 ecm:0.0000
etapa 1464000 0.00000071 ecm:0.0000
etapa 1464100 0.00000071 ecm:0.0000
etapa 1464200 0.00000071 ecm:0.0000
etapa 1464300 0.00000071 ecm:0.0000
etapa 1464400 0.00000071 ecm:0.0000
etapa 1464500 0.00000071 ecm:0.0000
etapa 1464600 0.00000071 ecm:0.0000
etapa 1464700 0.00000071 ecm:0.0000
etapa 1464800 0.00000071 ecm:0.0000
etapa 1464900 0.00000071 ecm:0.0000
etapa 1465000 0.00000071 ecm:0.0000
etapa 1465100 0.00000071 ecm:0.0000
