tasa de aprendizaje no especificada se estable ce en 0.1000
train no especficado se estable ce en 0.6500
train no especficado se establece en 0.3500
etapa 12900 0.00008514 ecm:0.0000
etapa 13000 0.00008447 ecm:0.0000
etapa 13100 0.00008382 ecm:0.0000
etapa 13200 0.00008317 ecm:0.0000
etapa 13300 0.00008253 ecm:0.0000
etapa 13400 0.00008190 ecm:0.0000
etapa 13500 0.00008129 ecm:0.0000
etapa 13600 0.00008068 ecm:0.0000
etapa 13700 0.00008008 ecm:0.0000
etapa 13800 0.00007949 ecm:0.0000
etapa 13900 0.00007890 ecm:0.0000
etapa 14000 0.00007833 ecm:0.0000
etapa 14100 0.00007776 ecm:0.0000
etapa 14200 0.00007720 ecm:0.0000
etapa 14300 0.00007665 ecm:0.0000
etapa 14400 0.00007611 ecm:0.0000
etapa 14500 0.00007558 ecm:0.0000
etapa 14600 0.00007505 ecm:0.0000
etapa 14700 0.00007453 ecm:0.0000
etapa 14800 0.00007402 ecm:0.0000
etapa 14900 0.00007351 ecm:0.0000
etapa 15000 0.00007301 ecm:0.0000
etapa 15100 0.00007252 ecm:0.0000
etapa 15200 0.00007203 ecm:0.0000
etapa 15300 0.00007155 ecm:0.0000
etapa 15400 0.00007108 ecm:0.0000
etapa 15500 0.00007061 ecm:0.0000
etapa 15600 0.00007015 ecm:0.0000
etapa 15700 0.00006970 ecm:0.0000
etapa 15800 0.00006925 ecm:0.0000
etapa 15900 0.00006880 ecm:0.0000
etapa 16000 0.00006837 ecm:0.0000
etapa 16100 0.00006793 ecm:0.0000
etapa 16200 0.00006751 ecm:0.0000
etapa 16300 0.00006708 ecm:0.0000
etapa 16400 0.00006667 ecm:0.0000
etapa 16500 0.00006626 ecm:0.0000
etapa 16600 0.00006585 ecm:0.0000
etapa 16700 0.00006545 ecm:0.0000
etapa 16800 0.00006505 ecm:0.0000
etapa 16900 0.00006466 ecm:0.0000
etapa 17000 0.00006427 ecm:0.0000
etapa 17100 0.00006389 ecm:0.0000
etapa 17200 0.00006351 ecm:0.0000
etapa 17300 0.00006314 ecm:0.0000
etapa 17400 0.00006277 ecm:0.0000
etapa 17500 0.00006240 ecm:0.0000
etapa 17600 0.00006204 ecm:0.0000
etapa 17700 0.00006169 ecm:0.0000
etapa 17800 0.00006133 ecm:0.0000
etapa 17900 0.00006098 ecm:0.0000
etapa 18000 0.00006064 ecm:0.0000
etapa 18100 0.00006030 ecm:0.0000
etapa 18200 0.00005996 ecm:0.0000
etapa 18300 0.00005963 ecm:0.0000
etapa 18400 0.00005930 ecm:0.0000
etapa 18500 0.00005897 ecm:0.0000
etapa 18600 0.00005865 ecm:0.0000
etapa 18700 0.00005833 ecm:0.0000
etapa 18800 0.00005802 ecm:0.0000
etapa 18900 0.00005770 ecm:0.0000
etapa 19000 0.00005739 ecm:0.0000
etapa 19100 0.00005709 ecm:0.0000
etapa 19200 0.00005679 ecm:0.0000
etapa 19300 0.00005649 ecm:0.0000
etapa 19400 0.00005619 ecm:0.0000
etapa 19500 0.00005590 ecm:0.0000
etapa 19600 0.00005561 ecm:0.0000
etapa 19700 0.00005532 ecm:0.0000
etapa 19800 0.00005504 ecm:0.0000
etapa 19900 0.00005475 ecm:0.0000
etapa 20000 0.00005448 ecm:0.0000
etapa 20100 0.00005420 ecm:0.0000
etapa 20200 0.00005393 ecm:0.0000
etapa 20300 0.00005366 ecm:0.0000
etapa 20400 0.00005339 ecm:0.0000
etapa 20500 0.00005312 ecm:0.0000
etapa 20600 0.00005286 ecm:0.0000
etapa 20700 0.00005260 ecm:0.0000
etapa 20800 0.00005235 ecm:0.0000
etapa 20900 0.00005209 ecm:0.0000
etapa 21000 0.00005184 ecm:0.0000
etapa 21100 0.00005159 ecm:0.0000
etapa 21200 0.00005134 ecm:0.0000
etapa 21300 0.00005110 ecm:0.0000
etapa 21400 0.00005085 ecm:0.0000
etapa 21500 0.00005061 ecm:0.0000
etapa 21600 0.00005037 ecm:0.0000
etapa 21700 0.00005014 ecm:0.0000
etapa 21800 0.00004990 ecm:0.0000
etapa 21900 0.00004967 ecm:0.0000
etapa 22000 0.00004944 ecm:0.0000
etapa 22100 0.00004922 ecm:0.0000
etapa 22200 0.00004899 ecm:0.0000
etapa 22300 0.00004877 ecm:0.0000
etapa 22400 0.00004855 ecm:0.0000
etapa 22500 0.00004833 ecm:0.0000
etapa 22600 0.00004811 ecm:0.0000
etapa 22700 0.00004789 ecm:0.0000
etapa 22800 0.00004768 ecm:0.0000
etapa 22900 0.00004747 ecm:0.0000
etapa 23000 0.00004726 ecm:0.0000
etapa 23100 0.00004705 ecm:0.0000
etapa 23200 0.00004684 ecm:0.0000
etapa 23300 0.00004664 ecm:0.0000
etapa 23400 0.00004644 ecm:0.0000
etapa 23500 0.00004624 ecm:0.0000
etapa 23600 0.00004604 ecm:0.0000
etapa 23700 0.00004584 ecm:0.0000
etapa 23800 0.00004564 ecm:0.0000
etapa 23900 0.00004545 ecm:0.0000
etapa 24000 0.00004526 ecm:0.0000
etapa 24100 0.00004507 ecm:0.0000
etapa 24200 0.00004488 ecm:0.0000
etapa 24300 0.00004469 ecm:0.0000
etapa 24400 0.00004450 ecm:0.0000
etapa 24500 0.00004432 ecm:0.0000
etapa 24600 0.00004414 ecm:0.0000
etapa 24700 0.00004395 ecm:0.0000
etapa 24800 0.00004377 ecm:0.0000
etapa 24900 0.00004360 ecm:0.0000
etapa 25000 0.00004342 ecm:0.0000
etapa 25100 0.00004324 ecm:0.0000
etapa 25200 0.00004307 ecm:0.0000
etapa 25300 0.00004290 ecm:0.0000
etapa 25400 0.00004272 ecm:0.0000
etapa 25500 0.00004255 ecm:0.0000
etapa 25600 0.00004238 ecm:0.0000
etapa 25700 0.00004222 ecm:0.0000
etapa 25800 0.00004205 ecm:0.0000
etapa 25900 0.00004189 ecm:0.0000
etapa 26000 0.00004172 ecm:0.0000
etapa 26100 0.00004156 ecm:0.0000
etapa 26200 0.00004140 ecm:0.0000
etapa 26300 0.00004124 ecm:0.0000
etapa 26400 0.00004108 ecm:0.0000
etapa 26500 0.00004092 ecm:0.0000
etapa 26600 0.00004077 ecm:0.0000
etapa 26700 0.00004061 ecm:0.0000
etapa 26800 0.00004046 ecm:0.0000
etapa 26900 0.00004030 ecm:0.0000
etapa 27000 0.00004015 ecm:0.0000
etapa 27100 0.00004000 ecm:0.0000
etapa 27200 0.00003985 ecm:0.0000
etapa 27300 0.00003970 ecm:0.0000
etapa 27400 0.00003956 ecm:0.0000
etapa 27500 0.00003941 ecm:0.0000
etapa 27600 0.00003927 ecm:0.0000
etapa 27700 0.00003912 ecm:0.0000
etapa 27800 0.00003898 ecm:0.0000
etapa 27900 0.00003884 ecm:0.0000
etapa 28000 0.00003870 ecm:0.0000
etapa 28100 0.00003856 ecm:0.0000
etapa 28200 0.00003842 ecm:0.0000
etapa 28300 0.00003828 ecm:0.0000
etapa 28400 0.00003814 ecm:0.0000
etapa 28500 0.00003801 ecm:0.0000
etapa 28600 0.00003787 ecm:0.0000
etapa 28700 0.00003774 ecm:0.0000
etapa 28800 0.00003761 ecm:0.0000
etapa 28900 0.00003747 ecm:0.0000
etapa 29000 0.00003734 ecm:0.0000
etapa 29100 0.00003721 ecm:0.0000
etapa 29200 0.00003708 ecm:0.0000
etapa 29300 0.00003695 ecm:0.0000
etapa 29400 0.00003683 ecm:0.0000
etapa 29500 0.00003670 ecm:0.0000
etapa 29600 0.00003657 ecm:0.0000
etapa 29700 0.00003645 ecm:0.0000
etapa 29800 0.00003632 ecm:0.0000
etapa 29900 0.00003620 ecm:0.0000
etapa 30000 0.00003608 ecm:0.0000
etapa 30100 0.00003596 ecm:0.0000
etapa 30200 0.00003584 ecm:0.0000
etapa 30300 0.00003572 ecm:0.0000
etapa 30400 0.00003560 ecm:0.0000
etapa 30500 0.00003548 ecm:0.0000
etapa 30600 0.00003536 ecm:0.0000
etapa 30700 0.00003524 ecm:0.0000
etapa 30800 0.00003513 ecm:0.0000
etapa 30900 0.00003501 ecm:0.0000
etapa 31000 0.00003490 ecm:0.0000
etapa 31100 0.00003478 ecm:0.0000
etapa 31200 0.00003467 ecm:0.0000
etapa 31300 0.00003456 ecm:0.0000
etapa 31400 0.00003445 ecm:0.0000
etapa 31500 0.00003433 ecm:0.0000
etapa 31600 0.00003422 ecm:0.0000
etapa 31700 0.00003411 ecm:0.0000
etapa 31800 0.00003401 ecm:0.0000
etapa 31900 0.00003390 ecm:0.0000
etapa 32000 0.00003379 ecm:0.0000
etapa 32100 0.00003368 ecm:0.0000
etapa 32200 0.00003358 ecm:0.0000
etapa 32300 0.00003347 ecm:0.0000
etapa 32400 0.00003337 ecm:0.0000
etapa 32500 0.00003326 ecm:0.0000
etapa 32600 0.00003316 ecm:0.0000
etapa 32700 0.00003306 ecm:0.0000
etapa 32800 0.00003295 ecm:0.0000
etapa 32900 0.00003285 ecm:0.0000
etapa 33000 0.00003275 ecm:0.0000
etapa 33100 0.00003265 ecm:0.0000
etapa 33200 0.00003255 ecm:0.0000
etapa 33300 0.00003245 ecm:0.0000
etapa 33400 0.00003235 ecm:0.0000
etapa 33500 0.00003226 ecm:0.0000
etapa 33600 0.00003216 ecm:0.0000
etapa 33700 0.00003206 ecm:0.0000
etapa 33800 0.00003196 ecm:0.0000
etapa 33900 0.00003187 ecm:0.0000
etapa 34000 0.00003177 ecm:0.0000
etapa 34100 0.00003168 ecm:0.0000
etapa 34200 0.00003159 ecm:0.0000
etapa 34300 0.00003149 ecm:0.0000
etapa 34400 0.00003140 ecm:0.0000
etapa 34500 0.00003131 ecm:0.0000
etapa 34600 0.00003121 ecm:0.0000
etapa 34700 0.00003112 ecm:0.0000
etapa 34800 0.00003103 ecm:0.0000
etapa 34900 0.00003094 ecm:0.0000
etapa 35000 0.00003085 ecm:0.0000
etapa 35100 0.00003076 ecm:0.0000
etapa 35200 0.00003067 ecm:0.0000
etapa 35300 0.00003059 ecm:0.0000
etapa 35400 0.00003050 ecm:0.0000
etapa 35500 0.00003041 ecm:0.0000
etapa 35600 0.00003033 ecm:0.0000
etapa 35700 0.00003024 ecm:0.0000
etapa 35800 0.00003015 ecm:0.0000
etapa 35900 0.00003007 ecm:0.0000
etapa 36000 0.00002998 ecm:0.0000
etapa 36100 0.00002990 ecm:0.0000
etapa 36200 0.00002982 ecm:0.0000
etapa 36300 0.00002973 ecm:0.0000
etapa 36400 0.00002965 ecm:0.0000
etapa 36500 0.00002957 ecm:0.0000
etapa 36600 0.00002948 ecm:0.0000
etapa 36700 0.00002940 ecm:0.0000
etapa 36800 0.00002932 ecm:0.0000
etapa 36900 0.00002924 ecm:0.0000
etapa 37000 0.00002916 ecm:0.0000
etapa 37100 0.00002908 ecm:0.0000
etapa 37200 0.00002900 ecm:0.0000
etapa 37300 0.00002892 ecm:0.0000
etapa 37400 0.00002884 ecm:0.0000
etapa 37500 0.00002877 ecm:0.0000
etapa 37600 0.00002869 ecm:0.0000
etapa 37700 0.00002861 ecm:0.0000
etapa 37800 0.00002854 ecm:0.0000
etapa 37900 0.00002846 ecm:0.0000
etapa 38000 0.00002838 ecm:0.0000
etapa 38100 0.00002831 ecm:0.0000
etapa 38200 0.00002823 ecm:0.0000
etapa 38300 0.00002816 ecm:0.0000
etapa 38400 0.00002808 ecm:0.0000
etapa 38500 0.00002801 ecm:0.0000
etapa 38600 0.00002794 ecm:0.0000
etapa 38700 0.00002786 ecm:0.0000
etapa 38800 0.00002779 ecm:0.0000
etapa 38900 0.00002772 ecm:0.0000
etapa 39000 0.00002764 ecm:0.0000
etapa 39100 0.00002757 ecm:0.0000
etapa 39200 0.00002750 ecm:0.0000
etapa 39300 0.00002743 ecm:0.0000
etapa 39400 0.00002736 ecm:0.0000
etapa 39500 0.00002729 ecm:0.0000
etapa 39600 0.00002722 ecm:0.0000
etapa 39700 0.00002715 ecm:0.0000
etapa 39800 0.00002708 ecm:0.0000
etapa 39900 0.00002701 ecm:0.0000
etapa 40000 0.00002694 ecm:0.0000
etapa 40100 0.00002688 ecm:0.0000
etapa 40200 0.00002681 ecm:0.0000
etapa 40300 0.00002674 ecm:0.0000
etapa 40400 0.00002667 ecm:0.0000
etapa 40500 0.00002661 ecm:0.0000
