0.503600 3 10
0.490700 4 10
0.480900 5 10
0.429600 6 10
0.520600 7 10
0.431400 8 10
0.475400 9 10
0.470300 10 10
0.524200 11 10
0.507400 12 10
0.405500 13 10
0.398100 14 10
0.378600 15 10
0.512100 16 10
0.453100 17 10
0.519500 18 10
0.410900 19 10
0.388300 20 10
0.466400 21 10
0.388100 22 10
0.472400 23 10
0.440200 24 10
0.423100 25 10
0.449000 26 10
0.415800 27 10
0.473500 28 10
0.454000 29 10
0.465400 30 10
0.459500 3 10
0.469000 4 10
0.440600 5 10
0.513100 6 10
0.501900 7 10
0.507900 8 10
0.469800 9 10
0.445100 10 10
0.508200 11 10
0.455900 12 10
0.408200 13 10
0.452100 14 10
0.387100 15 10
0.437100 16 10
0.461500 17 10
0.447400 18 10
0.462900 19 10
0.473300 20 10
0.499900 21 10
0.441500 22 10
0.428000 23 10
0.474200 24 10
0.445600 25 10
0.455000 26 10
0.467600 27 10
0.432400 28 10
0.536600 29 10
0.504400 30 10
