2.500200 0,001 10
2.541700 0,051 10
2.499100 0,101 10
2.645000 0,151 10
2.469100 0,201 10
2.628800 0,251 10
2.435700 0,301 10
2.458900 0,351 10
2.568600 0,401 10
2.698300 0,451 10
