-3.5165 -5.6383 -13.4440 -4.9084 -2.7307 -8.4427 -8.6039
-5.6383 -13.4440 -4.9084 -2.7307 -8.4427 -11.8134 -11.9050
-13.4440 -4.9084 -2.7307 -8.4427 -11.8134 -1.3789 -1.7920
-4.9084 -2.7307 -8.4427 -11.8134 -1.3789 -0.8001 -1.5048
-2.7307 -8.4427 -11.8134 -1.3789 -0.8001 -3.8599 -6.8611
-8.4427 -11.8134 -1.3789 -0.8001 -3.8599 -11.8134 -14.5020
-11.8134 -1.3789 -0.8001 -3.8599 -11.8134 -1.3789 -0.1960
-1.3789 -0.8001 -3.8599 -11.8134 -1.3789 0.8400 3.3545
-0.8001 -3.8599 -11.8134 -1.3789 0.8400 6.7621 11.9260
-3.8599 -11.8134 -1.3789 0.8400 6.7621 13.1714 7.7399
-11.8134 -1.3789 0.8400 6.7621 13.1714 2.4849 0.9842
-1.3789 0.8400 6.7621 13.1714 2.4849 0.2660 1.6177
0.8400 6.7621 13.1714 2.4849 0.2660 -0.4117 8.3541
6.7621 13.1714 2.4849 0.2660 -0.4117 -2.6234 12.5210
13.1714 2.4849 0.2660 -0.4117 -2.6234 -12.6440 -0.9764
2.4849 0.2660 -0.4117 -2.6234 -12.6440 -1.3789 -5.0589
0.2660 -0.4117 -2.6234 -12.6440 -1.3789 0.8400 -13.6950
-0.4117 -2.6234 -12.6440 -1.3789 0.8400 6.7831 -4.9532
-2.6234 -12.6440 -1.3789 0.8400 6.7831 8.3691 -1.9300
-12.6440 -1.3789 0.8400 6.7831 8.3691 2.4849 -6.1979
-1.3789 0.8400 6.7831 8.3691 2.4849 5.2780 -14.6570
0.8400 6.7831 8.3691 2.4849 5.2780 12.9193 -2.0444
6.7831 8.3691 2.4849 5.2780 12.9193 2.4849 0.4733
8.3691 2.4849 5.2780 12.9193 2.4849 -3.0429 2.4736
2.4849 5.2780 12.9193 2.4849 -3.0429 -7.9660 13.2090
5.2780 12.9193 2.4849 -3.0429 -7.9660 -12.6386 5.9822
12.9193 2.4849 -3.0429 -7.9660 -12.6386 -1.3789 -2.7657
2.4849 -3.0429 -7.9660 -12.6386 -1.3789 3.2694 -8.5660
-3.0429 -7.9660 -12.6386 -1.3789 3.2694 9.3098 -11.6030
-7.9660 -12.6386 -1.3789 3.2694 9.3098 8.1733 -3.1061
-12.6386 -1.3789 3.2694 9.3098 8.1733 2.4849 -4.2454
-1.3789 3.2694 9.3098 8.1733 2.4849 5.2780 -13.0540
3.2694 9.3098 8.1733 2.4849 5.2780 12.9193 -6.2028
9.3098 8.1733 2.4849 5.2780 12.9193 2.4849 -1.4481
8.1733 2.4849 5.2780 12.9193 2.4849 -2.9483 -3.8750
2.4849 5.2780 12.9193 2.4849 -2.9483 -7.9349 -14.6710
5.2780 12.9193 2.4849 -2.9483 -7.9349 -12.6420 -4.2828
12.9193 2.4849 -2.9483 -7.9349 -12.6420 -1.3789 1.0768
2.4849 -2.9483 -7.9349 -12.6420 -1.3789 4.0690 4.7031
-2.9483 -7.9349 -12.6420 -1.3789 4.0690 13.4196 15.3410
-7.9349 -12.6420 -1.3789 4.0690 13.4196 8.1722 2.9543
-12.6420 -1.3789 4.0690 13.4196 8.1722 2.4849 -1.1507
-1.3789 4.0690 13.4196 8.1722 2.4849 1.9061 -5.0648
4.0690 13.4196 8.1722 2.4849 1.9061 9.5474 -15.5920
13.4196 8.1722 2.4849 1.9061 9.5474 12.9193 -2.2021
8.1722 2.4849 1.9061 9.5474 12.9193 2.4849 1.6754
2.4849 1.9061 9.5474 12.9193 2.4849 1.9105 6.9742
1.9061 9.5474 12.9193 2.4849 1.9105 5.9586 14.0610
9.5474 12.9193 2.4849 1.9105 5.9586 12.9193 1.2770
12.9193 2.4849 1.9105 5.9586 12.9193 2.4849 -1.0927
