2.1444 2.1600 
2.2315 2.2200 
2.2965 2.2800 
2.3541 2.3400 
2.4029 2.4100 
2.4894 2.4700 
2.5543 2.5300 
2.6119 2.5900 
2.6607 2.6500 
2.7309 2.7100 
2.7922 2.7700 
2.8532 2.8200 
2.8991 2.8800 
2.9566 2.9400 
3.0206 2.9900 
3.0783 3.0500 
3.1268 3.1000 
3.1753 3.1500 
3.2289 3.2000 
3.2658 3.2500 
3.3222 3.3000 
3.3707 3.3500 
3.4189 3.3900 
3.4527 3.4400 
3.4971 3.4800 
3.5336 3.5200 
3.5752 3.5600 
3.6010 3.6000 
3.6451 3.6400 
3.6822 3.6700 
3.7053 3.7100 
3.7386 3.7400 
3.7644 3.7700 
3.7951 3.8000 
3.8107 3.8300 
3.8440 3.8500 
3.8574 3.8700 
3.8671 3.8900 
3.8796 3.9100 
3.9033 3.9300 
3.9210 3.9500 
3.9386 3.9600 
3.9428 3.9700 
3.9433 3.9800 
3.9465 3.9900 
3.9610 3.9900 
3.9564 4.0000 
3.9614 4.0000 
3.9594 4.0000 
3.9624 4.0000 
3.9511 3.9900 
3.9433 3.9900 
3.9396 3.9800 
3.9289 3.9700 
3.9231 3.9600 
3.9030 3.9400 
3.8864 3.9300 
3.8738 3.9100 
3.8543 3.8900 
3.8397 3.8700 
3.8105 3.8400 
3.7849 3.8200 
3.7633 3.7900 
3.7345 3.7600 
3.7108 3.7300 
3.6721 3.7000 
3.6510 3.6700 
3.6239 3.6300 
3.5827 3.5900 
3.5374 3.5500 
3.4948 3.5100 
3.4641 3.4700 
3.4271 3.4300 
3.3899 3.3800 
3.3381 3.3400 
3.2966 3.2900 
3.2474 3.2400 
3.2034 3.1900 
3.1430 3.1400 
3.1019 3.0900 
3.0536 3.0300 
2.9902 2.9800 
2.9376 2.9200 
2.8769 2.8700 
2.8368 2.8100 
2.7682 2.7500 
2.7126 2.6900 
2.6394 2.6300 
2.5870 2.5700 
2.5267 2.5100 
2.4661 2.4500 
2.4053 2.3900 
2.3444 2.3300 
2.2833 2.2700 
2.2221 2.2000 
2.1451 2.1400 
2.0800 2.0800 
2.0228 2.0200 
1.9752 1.9500 
1.8889 1.8900 
1.8240 1.8300 
1.7670 1.7600 
1.7038 1.7000 
1.6298 1.6400 
1.5734 1.5800 
1.5267 1.5200 
1.4564 1.4600 
1.3958 1.4000 
1.3353 1.3400 
1.2751 1.2800 
1.2150 1.2200 
1.1551 1.1600 
1.0954 1.1000 
1.0359 1.0500 
0.9927 0.9900 
0.9367 0.9400 
0.8884 0.8900 
0.8345 0.8300 
0.7834 0.7800 
0.7208 0.7300 
0.6774 0.6900 
0.6590 0.6400 
0.6026 0.5900 
0.5477 0.5500 
0.5005 0.5100 
0.4812 0.4700 
0.4456 0.4300 
0.3955 0.3900 
0.3558 0.3500 
0.3161 0.3200 
0.2927 0.2800 
0.2559 0.2500 
0.2264 0.2200 
0.1916 0.1900 
0.1758 0.1700 
0.1513 0.1400 
0.1243 0.1200 
0.1044 0.1000 
0.0794 0.0800 
0.0734 0.0700 
0.0589 0.0500 
0.0418 0.0400 
0.0319 0.0300 
0.0169 0.0200 
0.0211 0.0100 
0.0001 0.0000 
-0.0101 0.0000 
-0.0038 0.0000 
0.0058 0.0000 
0.0095 0.0000 
-0.0012 0.0100 
0.0153 0.0100 
0.0187 0.0200 
0.0293 0.0300 
0.0348 0.0500 
0.0760 0.0600 
0.0789 0.0800 
0.0997 0.1000 
0.1155 0.1200 
0.1502 0.1400 
0.1600 0.1600 
0.1803 0.1900 
0.2172 0.2200 
0.2573 0.2400 
0.2749 0.2800 
0.3078 0.3100 
0.3473 0.3400 
0.3858 0.3800 
0.4075 0.4200 
0.4678 0.4600 
0.5115 0.5000 
0.5409 0.5400 
0.5806 0.5800 
0.6203 0.6300 
0.6764 0.6700 
0.7190 0.7200 
0.7691 0.7700 
0.8138 0.8200 
0.8773 0.8700 
0.9161 0.9300 
0.9817 0.9800 
1.0340 1.0300 
1.0776 1.0900 
1.1292 1.1500 
1.2082 1.2000 
1.2552 1.2600 
1.3016 1.3200 
1.3668 1.3800 
1.4407 1.4400 
1.4907 1.5000 
1.5511 1.5600 
1.6116 1.6200 
1.6724 1.6900 
1.7493 1.7500 
1.8134 1.8100 
1.8698 1.8700 
1.9177 1.9400 
2.0049 2.0000 
